Accession,Gene
O60869,EDF1
Q14511,NEDD9
Q6P2E9,EDC4
P84090,ERH
P42126,ECI1
H0YFD6,HADHA
P30084,ECHS1
Q14244,MAP7
Q92817,EVPL
P29317,EPHA2
Q15375,EPHA7
Q8TE68,EPS8L1
A0A3B3ISQ4,EPS8L2
Q8N3Y7,SDR16C5
A0A075B730,EPPK1
P58107,EPPK1
P16422,EPCAM
H0YBR2,ESRP1
P07099,EPHX1
D6REL6,EPN3
Q99808,SLC29A1
Q9BV94,EDEM2
Q8N766,EMC1
Q15006,EMC2
Q9P0I2,EMC3
Q9NPA0,EMC7
M0R1B0,EMC8
Q96RT1,ERBIN
A0A3B3ISV9,ERI3
O75477,ERLIN1
O94905,ERLIN2
Q96HE7,ERO1A
Q9H501,ESF1
A0A1B0GUN9,ESPN
Q9H0W9,C11orf54
Q92506,HSD17B8
P60842,EIF4A1
P38919,EIF4A3
P15170,GSPT1
P62495,ETF1
P47813,EIF1AX
P05198,EIF2S1
P20042,EIF2S2
P41091,EIF2S3
Q9BY44,EIF2A
P41214,EIF2D
Q14152,EIF3A
P55884,EIF3B
Q99613,EIF3C
O15371,EIF3D
P60228,EIF3E
O00303,EIF3F
O75821,EIF3G
B3KS98,EIF3H
Q13347,EIF3I
O75822,EIF3J
Q9UBQ5,EIF3K
Q9Y262,EIF3L
Q7L2H7,EIF3M
E7EX73,EIF4G1
D3DQV9,EIF4G2
E7EX17,EIF4B
D6RBW1,EIF4E
C9JEL3,EIF4E2
Q15056,EIF4H
P55010,EIF5
P63241,EIF5A
O60841,EIF5B
P56537,EIF6
F8W9B8,EXOC5
Q8IYI6,EXOC8
Q9NVH0,EXD2
A0A087WZJ0,EXPH5
B1AMU7,EXOSC1
Q5RKV6,EXOSC6
Q9NQT5,EXOSC3
Q9NPD3,EXOSC4
Q15024,EXOSC7
M0R102,EXOSC5
Q01780,EXOSC10
P42285,MTREX
O14980,XPO1
P55060,CSE1L
Q9BSJ8,ESYT1
Q9GZZ8,LACRT
Q16610,ECM1
P15311,EZR
Q9Y5B9,SUPT16H
Q08945,SSRP1
P52907,CAPZA1
P47755,CAPZA2
B1AK88,CAPZB
P47756,CAPZB
Q8NFF5,FLAD1
Q96CU9,FOXRED1
C9JSZ1,FUBP1
Q96AE4,FUBP1
Q92945,KHSRP
Q96I24,FUBP3
P14324,FDPS
B3KVN2,FNTA
Q9UNN5,FAF1
Q96CS3,FAF2
Q16658,FSCN1
C9IZN7,TBRG4
Q7L8L6,FASTKD5
P49327,FASN
Q01469,FABP5
Q8WVX9,FAR1
Q86WN1,FCHSD1
Q6ZVX7,NCCRP1
Q9BZK7,TBL1XR1
A0A1B0GV68,FARP1
Q9BQL6,FERMT1
E9PK45,FTH1
K7ELX4,FECH
Q6MZM0,HEPHL1
P02671,FGA
P02675,FGB
P02679,FGG
P02751,FN1
Q9Y2H6,FNDC3A
P20930,FLG
Q5D862,FLG2
P21333,FLNA
O75369,FLNB
Q5T1M5,FKBP15
P39748,FEN1
P30043,BLVRB
A0A087X1I3,SDHA
O75955,FLOT1
Q14254,FLOT2
S4R400,FOCAD
H0YB16,PTK2
Q5VYV0,FOXB2
P55316,FOXG1
A0A087WVM4,MTHFD1L
P51114,FXR1
P51116,FXR2
P09467,FBP1
P04075,ALDOA
P09972,ALDOC
A0A3B3IS80,ALDOB
P07954,FH
H0YLC7,FAH
P98174,FGD1
Q6ZV73,FGD6
F8W895,GPATCH4
Q9UKJ3,GPATCH8
P51570,GALK1
G3V150,B3GAT3
E9PJ77,LGALS8
P09382,LGALS1
P17931,LGALS3
Q08380,LGALS3BP
P47929,LGALS7
Q3ZCW2,LGALSL
Q92820,GGH
O75223,GGCT
H3BM18,IFI16
Q96BI3,APH1A
Q9BSJ2,TUBGCP2
P17900,GM2A
P17302,GJA1
C9JWU8,GJB1
P29033,GJB2
P36383,GJC1
Q96QA5,GSDMA
Q9NXC5,MIOS
H3BMH3,WDR59
D6RF35,GC
D4PHA4,GPBP1
Q13630,TSTA3
P06396,GSN
A0A3B3IU42,GEMIN2
Q9NWZ8,GEMIN8
Q12789,GTF3C1
Q8WUA4,GTF3C2
A0A494C1S7,GTF3C3
Q9UKN8,GTF3C4
Q9Y5Q8,GTF3C5
P29083,GTF2E1
P35269,GTF2F1
P13984,GTF2F2
P32780,GTF2H1
Q13888,GTF2H2
F5GXG6,GTF2H3
P78347,GTF2I
O60763,USO1
G3V3X4,GMFB
Q92990,GLMN
P11413,G6PD
P06744,GPI
K7ELL7,PRKCSH
C9JND4,GXYLT2
P00367,GLUD1
F5H424,GRIP1
P48507,GCLM
Q9BQ67,GRWD1
P15104,GLUL
Q06210,GFPT1
P47897,QARS1
Q9NXS2,QPCTL
Q07075,ENPEP
P35754,GLRX
O76003,GLRX3
K7ERP4,GPX4
P00390,GSR
A0A3B3IRM5,GSTM5
O15217,GSTA4
Q7RTV2,GSTA5
P21266,GSTM3
P78417,GSTO1
P09211,GSTP1
A0A2R8Y6Q7,GSS
P04406,GAPDH
Q8N335,GPD1L
P43304,GPD2
